Occupation,Owns_House,Relationship_Type_Pookie,Family_Structure,Number_of_Vehicles_Owned,Gym_Category,Owns_Land,Land_Legal_Dispute,Personality_Type,Rural_or_Urban_Background,Education_Level,Age,Yearly_Inhand_Income_INR,Savings_in_Lakhs,Dahej_Category
Private Job,Yes,Not Pookie,Nuclear,8,Obese,Yes,No,Virus,Shehr ka Launda,12th Pass,28,40626407.0,463.5,9
Freelancer,No,Not Pookie,Nuclear,9,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,27,47363275.0,531.64,8
Self-employed,No,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,31,2519303.0,32.79,4
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Virus,Shehr ka Launda,Graduate+,35,8702148.0,105.78,3
Private Job,Yes,Not Pookie,Joint,4,Obese,No,Yes,Chill,Gaon ka Chhora,12th Pass,33,12174184.0,162.08,3
Unemployed,No,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,30,0.0,2.66,0
Business,Yes,Not Pookie,Nuclear,6,Obese,No,No,Chill,Shehr ka Launda,Graduate+,38,10024476.0,140.96,6
Freelancer,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,31,498123.0,3.29,2
Freelancer,No,Not Pookie,Alone,0,Obese,No,No,Chill,Shehr ka Launda,12th Pass,27,79904.0,1.29,1
Self-employed,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,19,593626.0,6.16,3
Government Job,No,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,29,353.0,0.64,1
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,,-221,758099.0,10.75,1
Government Job,No,Not Pookie,Nuclear,8,Optional,Yes,No,Chill,Gaon ka Chhora,Uneducated,27,33108070.0,360.06,10
Business,Yes,Not Pookie,Alone,1,Obese,No,No,Virus,Shehr ka Launda,Graduate+,26,564.0,0.0,3
Private Job,Yes,Not Pookie,Joint,1,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,34,430061.0,4.47,2
Private Job,??,Not Pookie,Joint,1,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,24,1827639.0,20.35,2
Freelancer,No,Not Pookie,Nuclear,5,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,27,24614240.0,345.16,6
Unemployed,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,32,0.0,2.08,0
Private Job,No,Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,12th Pass,27,223268.0,5.26,0
Freelancer,No,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,Graduate+,24,4731175.0,55.44,1
Business,Yes,Not Pookie,Nuclear,10,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,24,46459102.0,640.76,9
Unemployed,No,Not Pookie,Joint,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,31,0.0,0.03,0
Self-employed,Yes,Not Pookie,Alone,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,1507585.0,19.12,3
Self-employed,No,Not Pookie,Joint,2,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,27,14492730.0,152.07,4
Unemployed,Yes,Not Pookie,Alone,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,0.0,0.0,0
Freelancer,No,Not Pookie,Nuclear,8,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,26,36315661.0,368.07,10
Unemployed,Yes,Not Pookie,Joint,2,Optional,No,No,Virus,Shehr ka Launda,12th Pass,29,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,0,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,21,45516.0,3.39,2
Private Job,No,Not Pookie,Nuclear,9,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,26,35082188.0,466.52,8
Private Job,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,7119129.0,75.4,3
Unemployed,Yes,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,23,0.0,0.0,0
Private Job,No,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,33,10186216.0,125.64,2
Self-employed,Yes,Not Pookie,Nuclear,0,Obese,Yes,No,Chill,Shehr ka Launda,12th Pass,22,1229567.0,16.96,4
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,25,10887328.0,142.02,5
Business,Yes,Not Pookie,Nuclear,1,Passionate,Yes,Yes,Chill,Gaon ka Chhora,Graduate+,26,338905.0,2.42,4
Business,Yes,Not Pookie,Nuclear,9,Obese,No,No,Chill,Shehr ka Launda,12th Pass,27,46830940.0,531.82,10
Private Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Shehr ka Launda,12th Pass,34,3023669.0,42.33,2
Unemployed,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,23,0.0,4.67,0
Self-employed,No,Pookie,Nuclear,4,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,26,19931599.0,205.27,7
Self-employed,Yes,Not Pookie,Joint,11,Optional,No,No,Chill,Shehr ka Launda,12th Pass,28,48425250.0,541.2,10
Freelancer,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,3330411.0,46.05,3
Private Job,No,Pookie,Joint,2,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,26,8138427.0,111.43,4
Private Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,27,2916138.0,29.39,1
Private Job,Yes,Not Pookie,Alone,3,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,33,1829240.0,20.82,3
Freelancer,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,35,2297818.0,27.4,3
Business,Yes,Not Pookie,Joint,0,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,36,569970.0,10.16,2
Private Job,No,Not Pookie,Joint,5,Optional,No,No,Virus,Shehr ka Launda,12th Pass,25,29826459.0,360.01,5
Business,Yes,Not Pookie,Nuclear,10,Optional,No,No,Virus,Shehr ka Launda,12th Pass,19,30450019.0,427.43,9
Self-employed,No,Not Pookie,Joint,2,Obese,No,No,Virus,Shehr ka Launda,Graduate+,33,2720653.0,35.92,2
Freelancer,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Shehr ka Launda,Graduate+,30,4959527.0,50.92,3
Private Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Virus,Shehr ka Launda,12th Pass,22,1535102.0,22.92,0
Private Job,No,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,26,1824992.0,26.23,1
Freelancer,No,Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,28,249860.0,5.24,2
Unemployed,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,25,0.0,0.0,0
Private Job,No,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,Uneducated,26,62857.0,0.0,0
Private Job,Yes,Not Pookie,Joint,1,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,29,7856141.0,113.3,5
Unemployed,No,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,21,0.0,0.77,0
Private Job,No,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,22,5351523.0,64.59,2
Unemployed,Yes,Pookie,Alone,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,37,0.0,2.46,0
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,30,72718.0,0.08,1
Private Job,Yes,Not Pookie,Joint,3,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,24,71781.0,1.76,3
Business,No,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,27,147847.0,3.4,2
Private Job,Yes,Not Pookie,Joint,4,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,34,19036199.0,214.31,7
Private Job,Yes,Not Pookie,Alone,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,28,3280237.0,47.44,3
Private Job,Yes,Not Pookie,Nuclear,3,Optional,No,No,Virus,Shehr ka Launda,12th Pass,29,16375414.0,200.37,5
Unemployed,Yes,Pookie,Joint,1,Optional,Yes,No,Chill,Shehr ka Launda,10th Pass,30,0.0,0.07,1
Private Job,Yes,Pookie,Nuclear,3,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,18,4124626.0,41.65,3
Self-employed,Yes,Not Pookie,Alone,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,32,3890347.0,47.85,4
Private Job,Yes,Not Pookie,Alone,3,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,7429798.0,80.37,5
Private Job,Yes,Not Pookie,Joint,2,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,31,6386735.0,66.81,6
Self-employed,No,Not Pookie,Joint,0,Optional,No,No,-163,Gaon ka Chhora,N/A,30,2761.0,1.74,1
Unemployed,No,Not Pookie,Nuclear,2,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,34,0.0,2.22,0
Unemployed,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Gaon ka Chhora,Uneducated,29,0.0,0.0,0
Unemployed,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Shehr ka Launda,10th Pass,27,0.0,0.82,0
Self-employed,No,Not Pookie,Nuclear,6,Optional,No,Yes,Virus,Shehr ka Launda,12th Pass,30,28925871.0,322.06,5
Private Job,No,Not Pookie,Nuclear,4,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,27,6788492.0,86.18,4
Freelancer,Yes,Not Pookie,Joint,,Optional,No,No,Virus,Shehr ka Launda,10th Pass,34,39008827.0,460.21,9
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Shehr ka Launda,Uneducated,25,4231.0,0.0,2
Freelancer,No,Not Pookie,Alone,1,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,35,5464189.0,63.05,4
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,1691428.0,21.75,3
Private Job,Yes,Not Pookie,Nuclear,6,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,25161735.0,281.84,7
Business,Yes,Not Pookie,Joint,3,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,29,14197740.0,173.62,6
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,30,134201.0,0.54,2
Government Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,29,678768.0,3.59,2
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Virus,Shehr ka Launda,10th Pass,19,23146187.0,300.19,4
Self-employed,Yes,Not Pookie,Joint,2,Obese,Yes,No,Chill,Shehr ka Launda,10th Pass,33,3141512.0,38.84,5
Unemployed,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,10th Pass,36,0.0,1.02,0
Business,Yes,Not Pookie,Nuclear,2,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,,10178536.0,103.27,7
Private Job,No,Pookie,Alone,6,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,25,27160135.0,371.31,7
Unemployed,No,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,Graduate+,27,0.0,0.0,0
Government Job,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,27,2145302.0,22.67,2
Private Job,No,Not Pookie,Nuclear,3,Passionate,No,Yes,Virus,Gaon ka Chhora,Graduate+,23,6058835.0,81.65,1
Private Job,No,Not Pookie,Joint,12,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,20,48503243.0,626.83,6
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,29,244199.0,4.56,1
Private Job,Yes,Not Pookie,Joint,1,Optional,No,Yes,Chill,Gaon ka Chhora,Graduate+,35,8068277.0,112.46,3
Private Job,No,Not Pookie,Joint,2,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,24,1482350.0,19.91,2
Freelancer,Yes,Not Pookie,Joint,3,Optional,No,Yes,Chill,Shehr ka Launda,12th Pass,20,670853.0,8.36,0
Freelancer,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,313983.0,8.09,3
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Gaon ka Chhora,10th Pass,26,67440.0,1.62,0
Government Job,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,30,6493708.0,65.86,7
Business,Yes,Not Pookie,Nuclear,1,Optional,No,Yes,Chill,Gaon ka Chhora,Graduate+,28,300049.0,6.13,3
Unemployed,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Shehr ka Launda,Graduate+,23,0.0,0.0,0
Business,No,Not Pookie,Alone,7,Obese,No,No,Virus,Shehr ka Launda,Graduate+,28,33039866.0,454.6,9
Freelancer,Yes,Not Pookie,Nuclear,7,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,29,37015182.0,526.83,10
Government Job,Yes,Not Pookie,Joint,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,35,1130986.0,14.54,3
Unemployed,No,Not Pookie,Nuclear,0,Optional,No,Yes,Chill,Gaon ka Chhora,12th Pass,31,0.0,1.3,0
Business,No,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,1281793.0,17.51,3
Private Job,Yes,Not Pookie,Nuclear,9,Optional,No,No,Chill,Shehr ka Launda,12th Pass,28,46223771.0,517.11,9
Self-employed,Yes,Not Pookie,Nuclear,4,Optional,No,Yes,Virus,Shehr ka Launda,Graduate+,21,5302117.0,82.6,3
Freelancer,Yes,Not Pookie,Joint,1,Optional,Yes,No,Chill,Gaon ka Chhora,10th Pass,30,5304027.0,58.21,6
Unemployed,No,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,22,0.0,3.67,0
Private Job,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,28,847627.0,8.79,1
Private Job,Yes,Not Pookie,Nuclear,8,Obese,No,No,Chill,Shehr ka Launda,10th Pass,36,37737311.0,567.48,8
Private Job,Yes,Not Pookie,Joint,5,Optional,Yes,No,Virus,Shehr ka Launda,12th Pass,34,27021588.0,402.97,8
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,30,1399070.0,16.49,3
Self-employed,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,27,5938098.0,70.14,6
Government Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,25.0,0.22,4
Unemployed,No,Not Pookie,Joint,0,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,24,0.0,3.04,0
Private Job,No,Not Pookie,Nuclear,8,Passionate,Yes,No,Chill,Gaon ka Chhora,12th Pass,30,37500906.0,408.77,10
Private Job,Yes,Not Pookie,Nuclear,7,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,24,30970388.0,341.98,8
Freelancer,No,Not Pookie,Nuclear,7,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,22,34103182.0,417.63,7
Private Job,No,Not Pookie,Joint,5,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,28,20364794.0,222.26,5
Freelancer,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,10th Pass,34,3375420.0,36.22,2
Unemployed,Yes,Pookie,Joint,0,Obese,No,Yes,Chill,Gaon ka Chhora,Graduate+,34,0.0,0.52,0
Unemployed,No,Not Pookie,Joint,1,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,25,0.0,2.58,0
Freelancer,Yes,Not Pookie,Nuclear,6,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,29,32449793.0,407.85,10
Unemployed,Yes,Not Pookie,Joint,3,Optional,No,No,Virus,Shehr ka Launda,12th Pass,25,0.0,1.58,0
Unemployed,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,29,0.0,0.0,0
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,10th Pass,20,10860.0,0.0,0
Freelancer,Yes,Not Pookie,Alone,0,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,29,27764.0,0.0,4
Unemployed,Yes,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,Graduate+,24,0.0,0.0,0
Government Job,No,Pookie,Alone,7,Obese,Yes,No,Chill,Shehr ka Launda,12th Pass,26,37843334.0,427.84,10
Unemployed,Yes,Not Pookie,Joint,1,Passionate,No,No,Chill,Gaon ka Chhora,Uneducated,24,0.0,0.88,0
Freelancer,Yes,Not Pookie,Nuclear,0,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,29,607629.0,5.35,1
Private Job,No,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,27,4793466.0,56.35,2
Private Job,No,Not Pookie,Joint,2,Obese,No,No,Virus,Shehr ka Launda,12th Pass,31,9597085.0,96.22,2
Private Job,Yes,Pookie,Alone,1,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,32,775192.0,13.82,3
Freelancer,No,Not Pookie,Nuclear,99999,Optional,No,No,Virus,Gaon ka Chhora,37,NULL,128932.0,0.0,1
Private Job,Yes,Not Pookie,Joint,6,Passionate,Yes,No,Virus,Shehr ka Launda,Graduate+,30,30279976.0,437.77,10
Private Job,No,Not Pookie,Nuclear,4,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,32,17806605.0,262.65,7
Private Job,Yes,Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,26,126413.0,0.95,1
1,Yes,Not Pookie,,Business,Optional,Yes,No,Chill,Gaon ka Chhora,10th Pass,31,8194041.0,80.66,7
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,32,0.0,0.0,0
Government Job,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,24,1053636.0,5.43,4
Business,No,Pookie,Nuclear,3,Obese,No,No,Chill,Shehr ka Launda,Graduate+,25,18038075.0,197.35,7
Private Job,,,Joint,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,28,3883462.0,49.76,3
Business,Yes,Not Pookie,Alone,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,26,4269514.0,46.95,5
Self-employed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,30,1052780.0,10.79,4
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Virus,Shehr ka Launda,12th Pass,32,21211343.0,318.06,5
Business,Yes,Not Pookie,Nuclear,3,Optional,No,Yes,Chill,Shehr ka Launda,10th Pass,30,11199648.0,118.27,5
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Virus,Shehr ka Launda,12th Pass,27,728171.0,6.45,1
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,34,128986.0,4.92,2
Government Job,No,Not Pookie,Joint,11,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,31,41603732.0,522.83,10
Government Job,Yes,Not Pookie,Nuclear,2,Passionate,Yes,Yes,Virus,Shehr ka Launda,12th Pass,27,"['weird', 123]",88.1,5
Unemployed,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,28,0.0,0.0,0
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,10th Pass,31,48260.0,3.97,1
Private Job,No,Not Pookie,Joint,1000000000000,"['weird', 123]",Yes,No,Chill,Shehr ka Launda,12th Pass,24,1221535.0,-1,1
Private Job,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,29,1779299.0,16.87,2
Private Job,No,Not Pookie,Nuclear,4,Obese,Yes,No,Chill,Gaon ka Chhora,10th Pass,27,24674170.0,309.96,7
Business,Yes,Not Pookie,Nuclear,0,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,33,3389374.0,44.78,3
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,33,679252.0,9.55,2
Government Job,Yes,Not Pookie,Nuclear,3,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,23,9740744.0,123.71,5
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,31,378199.0,5.85,2
Business,No,Not Pookie,Nuclear,3,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,22,17985143.0,265.16,6
Private Job,No,Not Pookie,Nuclear,8,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,25,41869947.0,565.17,7
Private Job,No,Pookie,Nuclear,3,Optional,No,Yes,Virus,Gaon ka Chhora,12th Pass,23,10697383.0,125.99,1
Private Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,25,870453.0,13.97,2
Private Job,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,28,1020893.0,14.94,4
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,12th Pass,30,2105629.0,29.85,1
Private Job,No,Not Pookie,Joint,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,27,27622468.0,294.19,6
Government Job,No,Not Pookie,Alone,1,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,26,2503891.0,27.85,3
Government Job,No,Not Pookie,Joint,1,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,30,34593.0,0.97,4
Government Job,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,12th Pass,35,11633905.0,166.56,5
Government Job,Yes,Not Pookie,Nuclear,5,Obese,No,Yes,Virus,Shehr ka Launda,Graduate+,32,26008093.0,373.28,6
Business,Yes,Not Pookie,Joint,4,Optional,No,No,Virus,Shehr ka Launda,10th Pass,29,3537203.0,36.72,4
Freelancer,Yes,Pookie,Joint,1,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,21,8748588.0,93.78,5
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,31,1715970.0,25.94,4
Self-employed,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,29,758008.0,13.93,2
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,31,0.0,2.19,2
Private Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Gaon ka Chhora,,21,2993341.0,"['weird', 123]",2
Freelancer,Yes,Not Pookie,Joint,6,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,28,29655331.0,309.96,8
Private Job,Yes,Not Pookie,Nuclear,10,Optionalx,,No,Chill,Gaon ka Chhora,Graduate+,35,39597991.0,460.49,10
Private Job,Yes,Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,23,2550.0,1.45,1
Unemployed,Yes,Not Pookie,Joint,0,Obese,No,No,Virus,Shehr ka Launda,12th Pass,27,0.0,0.16,0
Private Job,No,Not Pookie,Nuclear,5,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,21,17753883.0,185.88,4
Self-employed,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,23,21475.0,2.14,2
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,29,602788.0,10.23,0
Freelancer,No,Not Pookie,Nuclear,1,Passionate,Yes,No,Chill,Gaon ka Chhora,Graduate+,21,4282319.0,53.28,4
Business,Yes,Not Pookie,Joint,3,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,33,350659.0,4.73,4
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,25,0.0,0.96,1
Private Job,Yes,Not Pookie,Joint,0,Optional,No,Yes,Chill,Shehr ka Launda,12th Pass,30,3265893.0,42.27,1
Unemployed,Yes,Not Pookie,Joint,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,34,0.0,0.1,1
Business,Yes,Not Pookie,Alone,2,Optional,Yes,No,Virus,Shehr ka Launda,Graduate+,30,371.0,2.72,5
Self-employed,Yes,Not Pookie,Joint,0,Passionate,Yes,No,Virus,Shehr ka Launda,Graduate+,24,2325384.0,32.48,4
Self-employed,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Virus,Shehr ka Launda,Graduate+,27,179453.0,0.53,4
Unemployed,Yes,Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,30,0.0,0.0,0
Self-employed,Yes,Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,25,2478573.0,33.55,3
Freelancer,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,37,192767.0,2.26,0
Business,No,Not Pookie,Nuclear,8,Optional,No,No,Virus,Shehr ka Launda,10th Pass,33,39732366.0,514.49,9
Private Job,No,Not Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,26307144.0,313.27,6
Government Job,Yes,Not Pookie,Nuclear,10,Optional,Yes,No,Virus,Shehr ka Launda,Graduate+,27,32528976.0,400.11,10
Unemployed,No,Not Pookie,Alone,0,Optional,Yes,No,Virus,Shehr ka Launda,10th Pass,23,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,25,2838071.0,37.15,2
Private Job,Yes,Not Pookie,Joint,3,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,32,949156.0,7.32,4
Unemployed,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,26,0.0,0.57,0
Private Job,Yes,Not Pookie,Joint,2,Obese,No,No,Virus,Shehr ka Launda,12th Pass,36,5904803.0,61.69,2
Unemployed,Yes,Pookie,Nuclear,2,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,28,0.0,0.0,0
Private Job,No,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,29,1755319.0,17.46,0
Private Job,No,Not Pookie,Nuclear,9,Optional,Yes,No,Chill,Shehr ka Launda,10th Pass,40,35179244.0,410.91,9
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,10th Pass,31,64335.0,0.58,2
Business,Yes,Not Pookie,Joint,7,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,34543412.0,492.28,10
Self-employed,Yes,Not Pookie,Nuclear,3,Passionate,Yes,No,Virus,Gaon ka Chhora,10th Pass,23,11775810.0,174.2,6
Self-employed,No,Not Pookie,Joint,3,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,27,13840245.0,189.98,5
